公司代碼,負債比,負債對淨值比,財報評分,現金比,速動比,流動比,利息保障倍數,現金流動比,穩定度
3585,24.008,30.326667,43.1666667,156.853333,246.7,339.533333,-7.288,19.9033333,
3592,40.845,70.555,44.33333333,57.8866667,160.083333,230.383333,17276.334,24.5016667,
3595,52.20666667,127.95,30.16666667,28.2666667,137.905,182.066667,11.9983333,21.74,
3597,55.10333333,125.635,46.5,45.7233333,112.015,159.65,7.87833333,13.19,
3603,55.25166667,148.15,35.16666667,39.885,72.795,96.4966667,-9.0816667,-15.543333,
4117,43.16,111.485,41.16666667,150.038333,213.47,262.131667,-754.17833,-38.11,
3097,41.82833333,76.21166667,44.66666667,61.1483333,136.775,205.483333,14.2533333,20.6016667,
1563,53.17,115.1766667,52.66666667,58.2166667,99.6883333,242.283333,27.1183333,37.9583333,
4132,23.17833333,30.69833333,40.83333333,171.941667,183.563333,356.75,-75.66,-133.865,
2599,32.41166667,56.18166667,64.5,50.16,112.496667,453.35,1037.75833,80.32,
4135,10.676,12.092,60.6,175.896667,260.728333,341.633333,94.375,25.0933333,
3627,18.83833333,23.96666667,60.33333333,217.133333,309.433333,417.766667,4,118.546667,
3117,61.95833333,170.4,30.5,15.7983333,90.42,126.405,-1.2933333,15.7716667,
3633,58.02833333,138.6833333,45.33333333,30.37,141.016667,158.133333,696.466667,18.1733333,
1585,57.22666667,141.4,22.66666667,41.3933333,119.106667,453.745,-4.0533333,-28.673333,
4150,49.07166667,103.4566667,27.33333333,31.79,86.9066667,144.2,-35.763333,-16.315,
4151,72.88666667,339.4,32.33333333,23.3,57.87,98.1616667,0.185,-1.525,
1594,50.21833333,102.79,36.5,44.765,131.6,149.066667,7.79666667,10.2933333,
4159,,,,287.626667,2768.78333,2934,,-449.21667,
3138,38.49833333,63.375,54.66666667,88.3033333,176.35,215.033333,92.1116667,39.6333333,
4166,27.72833333,39.93166667,35.16666667,55.87,122.756667,175.761667,-68.726667,-109.90167,
4169,23.44666667,32.505,47.83333333,87.54,348.983333,514.466667,20.0666667,12.225,
4170,16.83166667,22.60333333,49.33333333,307.891667,334.475,502.933333,-185.43,-130.84667,
3659,55.74666667,127.0333333,30,20.5216667,100.963333,153.15,139.058333,16.715,
4172,6.718333333,7.345,47.83333333,635.783333,747.333333,851.383333,-10200.65,-307.25333,
3150,47.83333333,18.25166667,48,338.166667,510.633333,638.083333,310,-48.081667,
8281,24.02666667,33.245,48.5,208.883333,390.15,471.45,304.116667,3.125,
4186,63.565,187.8666667,35.66666667,34.9033333,56.0716667,84.0733333,-30.608333,-63.8,
3674,27.155,38.9,47.5,144.288333,272.728333,402.416667,-355.2225,-37.398333,
8284,37.09833333,59.09833333,58.5,122.92,215.166667,218.816667,12295,43.9033333,
3678,60.19333333,154.1,33.5,33.955,64.3816667,122.06,0.175,9.50333333,
4191,202.915,43.33833333,34.5,217.378333,219.906667,299.5,-116.90667,-146.57,
3168,59.3,158.4466667,39.33333333,26.4866667,74.555,121.981667,12.01,15.8733333,
5216,29.51166667,42.805,45.33333333,193.3,273.133333,339.383333,-11.55,31.015,
4194,15.24333333,19.79166667,48.16666667,574.55,616.5,674.616667,-180.7,-289.45,
4195,20.265,25.69666667,48.5,284.116667,391.716667,480.183333,-23.616667,-19.471667,
4197,41.37,76.21333333,43.83333333,281.99,366.566667,475.016667,18.835,12.925,
5222,36.345,59.34333333,55.16666667,68.835,101.48,234.266667,34.245,15.1666667,
3688,13.72166667,16.40333333,55,406.35,686.183333,737.766667,-30.65,-16.36,
5228,63.20666667,174.6833333,43,31.5483333,97.6,187.866667,3.22666667,18.9666667,
3184,30.64166667,47.84333333,39,258.04,275.365,348.833333,-65.536667,-93.113333,
5233,25.25166667,44.37166667,36.5,532.776667,620.233333,801.25,-46.058333,-64.781667,
5240,33.47333333,51.25833333,40.33333333,73.3783333,127.518333,264.1,-315.03667,-4.3666667,
4730,57.88,138.7333333,36,21.505,105.293333,156.783333,8.925,9.24666667,
5244,26.83,36.89,58.16666667,137.633333,243.533333,289.466667,170.262,61.5333333,
4732,7.79,8.676666667,50.66666667,489.996667,1457.26667,1659.05,718.8,-169.51,
5248,14.135,16.52666667,64.83333333,260.25,380.333333,458.166667,2225.04,132.476667,
6272,63.33333333,173.3,31.66666667,16.1583333,106.286667,146.7,1.955,10.5383333,
4738,53.24666667,132.5316667,32.66666667,43.7683333,110.323333,160.266667,-15.293333,-2.9816667,
5256,,,,25.7633333,86.885,142.333333,14.495,10.2166667,
8329,25.70333333,34.61333333,43.5,56.3183333,90.9233333,114.766667,-40.765,11.2383333,
5262,58.81666667,150.4683333,25.5,19.755,67.6116667,146.183333,-2.985,-5.0333333,
4752,35.81833333,60.035,47.83333333,39.5366667,104.171667,197.116667,73.865,41.86,
5267,21.23,26.99333333,61.66666667,223.483333,396.583333,459.666667,41403.1333,49.6166667,
5271,57.88833333,142.0166667,30.83333333,20.93,94.7583333,129.816667,-5.7233333,4.19166667,
5277,31.58333333,46.65833333,42.16666667,79.575,178.033333,216.033333,-7.965,17.5,
5283,35.99166667,56.91333333,60.66666667,54.9466667,124.871667,227.016667,136.108333,50.6616667,
8359,27.09166667,37.96666667,76.83333333,161.55,358.683333,365.416667,79.5816667,96.3966667,
2730,52.7,116.9566667,45,22.54,49.24,62.255,-0.1233333,13.5833333,
2733,14.43,17.06833333,63.33333333,158.585,181.216667,216.233333,-104.01333,76.3966667,
5294,34.80833333,54.80166667,49.16666667,125.336667,160.9,261.133333,16.8233333,17.7883333,
2741,35.52,62.30333333,65.66666667,61.33,64.8366667,120.938333,548.143333,70.8633333,
2743,59.98666667,151.9,30,56.4366667,96.63,126.966667,57.524,5.90833333,
2237,52.92666667,134.2066667,21.33333333,28.2916667,63.0866667,180.683333,-27.435,-66.915,
9957,67.31666667,207,28.16666667,6.205,26.5716667,65.3716667,-0.37,18.8216667,
1260,43.95333333,79.005,36.16666667,25.17,54.6716667,161.083333,8.99666667,-1.79,
1780,35.76,55.93166667,35.76,71.6816667,170.466667,289.216667,15.6316667,28.9983333,
8438,50.57666667,102.7483333,50.57666667,33.2216667,80.8183333,132.8,3.31833333,9.73333333,
6403,11.065,12.72,11.065,228.45,723.433333,998.233333,-3769.75,-38.831667,
6407,68.445,219.4666667,68.445,7.24166667,64.5833333,83.4616667,3.48,13.355,
8458,37.30833333,77.72666667,37.30833333,31.8483333,45.23,107.983333,-163.065,-88.89,
8465,47.33833333,92.62,27.33333333,10.92,50.335,110.426667,-7.52,-13.698333,
3349,41.28666667,72.58666667,41.33333333,104.216667,186.85,220.85,-74.29,14.0333333,
1814,,,,37.845,105.751667,156.133333,4.43833333,16.48,
6423,10.09,11.36833333,59.5,922.983333,976.433333,986.433333,-116.85,45.2333333,
6428,23.9,31.69833333,44.83333333,85.6866667,385.95,403.716667,-95.94,-7.1133333,
3357,42.24,73.23166667,54.66666667,39.2566667,113.47,142.9,33.505,34.94,
6434,42.02333333,80.19666667,27.16666667,15.8216667,37.5433333,73.4933333,-51.378333,10.4966667,
6445,13.86833333,16.47333333,35.66666667,631.116667,663.816667,892.216667,-301.5,-276.58333,
3377,30.01166667,43.86333333,54.66666667,121.656667,282.383333,306.45,124.715,22.3066667,
4923,28.49666667,40.71833333,45.5,134.225,268.583333,402.15,1001.885,19.7066667,
4925,13.80333333,16.18,59,434.416667,637.3,742.45,31.22,59.4966667,
6468,24.62166667,33.07,62.33333333,265.133333,333.233333,375.5,2691.035,82.02,
6473,33.98166667,66.81333333,35.83333333,132.09,166.628333,208.2,-21571.262,-97.773333,
4427,75.54,312.6833333,28,7.32833333,35.4,84.3033333,0.68,11.7783333,
6475,30.12833333,57.66166667,42.33333333,55.2516667,128.475,171.145,26.8166667,41.485,
4431,24.905,33.41666667,51.33333333,131.691667,238.316667,304.9,22.9583333,46.4633333,
4951,10.01833333,11.16,66,167.43,557.383333,625.55,528.7,88.165,
6491,40.39166667,71.62333333,60.5,53.5533333,89.07,140.008333,58.7583333,57.5533333,
6493,25.91166667,35.17333333,53.66666667,86.8366667,129.038333,241.266667,8.16666667,55.358,
6498,33.51166667,50.66333333,40.33333333,62.3933333,158.933333,189.166667,-14.428333,31.6066667,
3429,72.13666667,260.2333333,26.33333333,11.9066667,83.9983333,135.8,1.745,-1.2683333,
3430,180.15,180.15,39.16666667,18.06,54.0233333,128.283333,8.74666667,11.4366667,
8041,,,,111.168333,233.016667,342,-26.965,27.2783333,
4980,52.335,52.335,47.83333333,82.5283333,151.783333,229.016667,27.2433333,13.635,
6518,99.69666667,99.69666667,35,12.09,95.96,101.708333,5.035,27.5733333,
6527,28.31,28.31,60.83333333,255.883333,308.033333,450.1,75.05,54.0433333,
6529,115.6666667,115.6666667,41.33333333,38.0166667,164.083333,226.233333,13.8816667,-24.981667,
6534,77.63333333,77.63333333,83.33333333,241,252.225,303.913333,31.368,129.013333,
6536,89.44,89.44,37.66666667,220.821667,251.51,353.5,-23.0075,-123.22167,
6545,31.48,31.48,34.33333333,111.521667,262.783333,460.9,-938.965,-77.813333,
3485,23.68166667,23.68166667,18.94833333,132.488333,352.033333,415.45,828.7,32.7516667,
8115,101.235,101.235,44.66666667,26.845,163.703333,189.116667,64.1416667,15.5366667,
4537,69.76166667,260.0666667,34.33333333,14.7816667,54.645,127.466667,4.75166667,-0.6033333,
8127,,,,11.1233333,73.04,113.346667,6.76,5.675,
4544,48.745,95.37166667,40.16666667,32.8033333,93.835,172.65,27.56,22.985,
4546,52.20833333,111.4383333,38.83333333,9.97,63.235,145.6,14.4683333,45.2666667,
4553,51.69333333,107.5283333,38.16666667,45.285,86.8383333,133.065,11.0083333,20.0666667,
4558,62.86666667,169.9166667,35.83333333,25.78,91.41,150.666667,5.49333333,14.4983333,
4559,73.395,287.15,37.16666667,24.3216667,78.1266667,102.315,2.03,8.005,
3543,42.36,73.55,44.16666667,71.5666667,165.1,191.133333,7.70666667,16.2133333,
8179,33.575,51.24833333,45.16666667,71.58,153.716667,199.933333,0.00666667,39.5083333,
